Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.071104,0.002003,-0.099285,0,0,0,2.7531,0.0065612,-4.3391E-07,7.9314E-06,0.0057253,-4.291E-07,0.01163,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body(fixed)-1,model,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.045553,0.0023827,0.0031624,0,0,0,0.060681,1.7187E-05,-1.6485E-08,-1.5645E-07,1.5791E-05,2.9641E-09,1.3493E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,,LFS,fixed,-0.0088681,0.084404,-0.1865,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
LFW,0.015,0,0,0,0,0,0.28979,0.00043983,-3.5465E-20,-3.5496E-20,0.00024165,1.3553E-20,0.00024165,0,0,0,0,0,0,package://lide/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-2,Origin_LFW,Axis_LFW,LFW,continuous,0.063346,-0.006798,0.015044,-1.0769,0,0,LFS,1,0,0,,,,,,,,,,,,
RFS,-0.019176,-0.014942,0.052192,0,0,0,0.060681,1.7187E-05,-1.6485E-08,1.5645E-07,1.5791E-05,-2.9641E-09,1.3493E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,,RFS,fixed,-0.057897,-0.11078,-0.16922,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RFW,-0.015,0,0,0,0,0,0.28979,0.00043983,-2.9881E-36,3.2691E-37,0.00024165,1.614E-36,0.00024165,0,0,0,0,0,0,package://lide/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-1,Origin_RFW,Axis_RFW,RFW,continuous,-0.036969,-0.024084,0.064073,0,0,0,RFS,1,0,0,,,,,,,,,,,,
LBS,2.7756E-17,-0.046891,0,0,0,0,0.42751,0.00023477,1.0014E-22,-7.3184E-22,0.00017474,2.973E-22,0.00023459,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus_all-1,Origin_LBS,,LBS,fixed,-0.15682,0.13,-0.16323,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RBS,0,-0.046891,0,0,0,0,0.42751,0.00023477,5.2257E-24,-5.7175E-24,0.00017474,3.5681E-22,0.00023459,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus_all-2,Origin_RBS,,RBS,fixed,-0.15682,-0.13,-0.16323,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
fcam,0.000445525090231219,-1.10631679103301E-05,0.00129821973144108,0,0,0,0.0436119950287128,2.357070580464E-05,-1.01813691701945E-09,2.17579681215334E-08,4.29479133591152E-06,-8.85791114029824E-10,2.21058141232448E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-1,fcam,,fcam,fixed,0.033176,0,-0.015008,0,0,0,base_link,0,0,0,,,,,,,,,,,,
bcam,0.00044553,-1.1063E-05,0.0012982,0,0,0,0.043612,2.3571E-05,-1.0183E-09,2.1758E-08,4.2948E-06,-8.8548E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/bcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/bcam.STL,,Webcam_C920-2,bcam,,bcasm,fixed,0.024595,0,-0.050288,0,0.7854,0,base_link,0,0,0,,,,,,,,,,,,
Lidar,0.013523,0.00046196,-0.028765,0,0,0,0.073085,1.9581E-05,-1.0393E-07,-4.2839E-07,2.4125E-05,9.4271E-09,4.1418E-05,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,,RPLidar-1,lidar,,Lidar,fixed,-0.1494,-0.00099405,0.0565,0,0,0,base_link,0,0,0,,,,,,,,,,,,
